hospital_name,county,level,ownership
Amani Medical Clinic (Likoni),Mombasa,Level 2,Private Practice - Nurse / Midwifery
Komarock Medical Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Wamunga Health Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Wangu Medical Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Wahundura Dispensary,Murang'A,Level 2,Ministry of Health
Baraka Afya Clinic,Embu,Level 2,Private Enterprise (Institution)
Joy Medical Clinic (Jomvu),Mombasa,Level 2,Private Practice - General Practitioner
Embu Children Hospital,Embu,Level 3,Private Practice - General Practitioner
Arcade Medical Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
Imalaba Dispensary,Kakamega,Level 2,Ministry of Health
Huduma Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Tumaini Medical Clinic (Buuri),Meru,Level 2,Private Enterprise (Institution)
Shalom Health Services,Mombasa,Level 2,Private Enterprise (Institution)
Kikambala Medical Services,Kilifi,Level 2,Private Enterprise (Institution)
Samaritan Health Services,Meru,Level 2,Private Enterprise (Institution)
Mama Ken Clinic,Meru,Level 2,Private Enterprise (Institution)
St Valeria Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Thureya Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Travellers Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
St Patrick Health Care Centre,Nairobi,Level 3,Private Enterprise (Institution)
Mainview Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Latulla Medical Centre,Mombasa,Level 2,Private Enterprise (Institution)
Freedom Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Mackinnon Medical Clinic,Mombasa,Level 2,Private Practice - Nurse / Midwifery
Mkunga Clinic,Nairobi,Level 3,Private Enterprise (Institution)
Marikebuni Dispensary,Kilifi,Level 2,Ministry of Health
Kakululo Dispensary,Kitui,Level 2,Ministry of Health
Comrade Nurising Home,Kirinyaga,Level 2,Private Practice - Clinical Officer
Shikumu Dispensary,Kakamega,Level 2,Ministry of Health
Elite Medical Clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Upendo Clinic (Imenti North),Meru,Level 2,Private Enterprise (Institution)
Kanyenyaini Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Warazo Medical Clinic (Ruiru),Kiambu,Level 2,Private Practice - Nurse / Midwifery
Filhia Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Kiairegi Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Manesh Clinic,Kirinyaga,Level 2,Private Enterprise (Institution)
Ros Megg Clinic,Meru,Level 2,Private Enterprise (Institution)
Savana Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
St Joseph Medical Clinic (Kangundo),Machakos,Level 2,Private Enterprise (Institution)
Daraja Medical Clinic,Kisii,Level 2,Private Enterprise (Institution)
Murarandia Medical Centre,Murang'A,Level 2,Private Enterprise (Institution)
Afya Bora Clinic (Meru South),Tharaka-Nithi,Level 2,Private Enterprise (Institution)
Jericho Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Hekima Medical Clinic,Mombasa,Level 2,Private Practice - Clinical Officer
Family Medical Centre (Kisauni),Mombasa,Level 2,Private Enterprise (Institution)
Adu Dispensary,Kilifi,Level 2,Ministry of Health
Muguna West Clinic,Meru,Level 2,Private Enterprise (Institution)
Mama Fridah Clinic,Migori,Level 2,Private Enterprise (Institution)
Kesma Clinic,Murang'A,Level 2,Private Enterprise (Institution)
K K Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Waiganjo Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Ruiri Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Kehancha Clinic,Migori,Level 2,Private Enterprise (Institution)
Times Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Tevica Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Pr Medical Clinic (Buuri),Meru,Level 2,Private Enterprise (Institution)
Mama Caro Clinic,Migori,Level 2,Private Enterprise (Institution)
Azimio Medical Clinic (Meru South),Tharaka-Nithi,Level 2,Private Enterprise (Institution)
Getontira Clinic,Migori,Level 2,Private Enterprise (Institution)
Huduma Clinic,Migori,Level 2,Private Enterprise (Institution)
Ntha Clinic,Tharaka-Nithi,Level 2,Private Enterprise (Institution)
K K Chogoria Clinic,Meru,Level 2,Private Enterprise (Institution)
Border Clinic,Migori,Level 2,Private Enterprise (Institution)
Maralal Medical Clinic,Samburu,Level 2,Private Practice - Clinical Officer
Ikerege Clinic,Migori,Level 2,Private Enterprise (Institution)
Kamacabi Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Gateways Medical Clinic,Murang'A,Level 2,Private Practice - Clinical Officer
Gakira Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Canaan Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Siloam Mediacl Clinic,Kitui,Level 2,Private Enterprise (Institution)
Baraka Medical Clinic (Vikwatani),Mombasa,Level 2,Private Enterprise (Institution)
Shiloh Nursing Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Mukuru Crescent Clinic,Nairobi,Level 2,Supreme Council for Kenya Muslims
Mundu Ta Mundu Clinic,Kitui,Level 2,Private Enterprise (Institution)
Kibokoni Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Alpha Medical Clinic,Samburu,Level 2,Private Practice - Clinical Officer
Nkubu Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Moshi Clinic,Migori,Level 2,Private Enterprise (Institution)
Bismillahi Medical Clinic,Mandera,Level 2,Private Enterprise (Institution)
Mau Summit Medical Clinic,Nakuru,Level 2,Private Enterprise (Institution)
Komomange Dispensary,Migori,Level 2,Ministry of Health
Kirin Agribio (Yoder) Clinic,Embu,Level 2,Private Enterprise (Institution)
Loitokitok Medical Clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Tana Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
Dr Kariuki R F Clinic,Mombasa,Level 2,Private Practice - General Practitioner
Kanamai Health Care,Kilifi,Level 2,Private Enterprise (Institution)
Kapu Medical Clinic,Nairobi,Level 2,Ministry of Health
Nduva Na Mwene Medical Clinic,Kitui,Level 2,Private Enterprise (Institution)
Ukunda Medical Clinic,Kwale,Level 3,Private Enterprise (Institution)
Air Port Medical Centre,Machakos,Level 2,Private Enterprise (Institution)
Bakarani Community Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Juhudi Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Kwa Ndomo Medical Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Machakos Health Care Centre,Machakos,Level 2,Private Practice - Clinical Officer
Corner Medical Clinic,Mombasa,Level 2,Private Practice - Nurse / Midwifery
Tumaini Rh Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Badria Medical Clinic,Mombasa,Level 2,Private Practice - Clinical Officer
Upendo Medical Clinic (Kitui),Kitui,Level 2,Private Enterprise (Institution)
Mama Vero Clinic,Kitui,Level 2,Private Enterprise (Institution)
Amboseli Serena Lodge Clinic,Kajiado,Level 2,Company Medical Service
Oltukai Lodge Clinic,Kajiado,Level 2,Company Medical Service
Palani Health Care Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Kangema Medical Clinic,Murang'A,Level 2,Private Practice - Clinical Officer
Timboni Community Dispensary,Kilifi,Level 2,Ministry of Health
Yeshua Medical,Mombasa,Level 2,Private Enterprise (Institution)
Memon Medical Centre,Mombasa,Level 2,Private Practice - Medical Specialist
Martmerg Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Njemuka Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Lilian Wachuka Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Micii Mikuru Clinic,Meru,Level 2,Company Medical Service
St Jude's Clinic,Kisumu,Level 2,Private Enterprise (Institution)
Shukrani Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Muriri Clinic,Meru,Level 2,Private Enterprise (Institution)
Wema Centre Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Shepherds Medical Clinic Maringo,Nairobi,Level 2,Private Enterprise (Institution)
Family Medical Centre (Malindi),Kilifi,Level 2,Private Practice - Clinical Officer
Ebenezer Medical Clinic (Thika),Kiambu,Level 2,Private Enterprise (Institution)
St Joy Afya Clinic,Meru,Level 2,Private Enterprise (Institution)
Shanzu Teachers College Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Shalom Medical Clinic (Embu),Embu,Level 2,Private Enterprise (Institution)
Illasit Medical Clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Subira Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Malindi Care Services Limited,Kilifi,Level 2,Private Practice - Medical Specialist
Rural Medical Clinic (Nyeri South),Nyeri,Level 2,Private Practice - Clinical Officer
Ibnusina Clinic,Lamu,Level 2,Private Practice - Clinical Officer
Mtopanga Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Royal Health Care,Kilifi,Level 2,Private Practice - General Practitioner
St Bennedticto Health Centre,Kilifi,Level 3,Private Enterprise (Institution)
Medina Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Town Centre Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Dzitsoni Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Pendo Medical Clinic (Kilindini),Mombasa,Level 2,Private Enterprise (Institution)
Marereni Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Ebenezer Medical Clinic (Malindi),Kilifi,Level 2,Private Practice - Nurse / Midwifery
Mission Medical Clinic (Bahari),Kilifi,Level 2,Private Enterprise (Institution)
Neema Medical Clinic (Malindi),Kilifi,Level 2,Private Practice - Nurse / Midwifery
Ashraf Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Azimio Medical Centre,Mombasa,Level 2,Private Enterprise (Institution)
Shwak Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Namelok Medical Clinic,Samburu,Level 2,Private Practice - Clinical Officer
Nyagoto Dispensary,Kisii,Level 2,Ministry of Health
St Peter's Hospital,Kilifi,Level 3,Private Practice - Clinical Officer
Thunguma Medical Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
Dr Awimbo E Clinic,Mombasa,Level 2,Private Practice - General Practitioner
Dr Bernad M Oduor Clinic,Kilifi,Level 2,Private Practice - General Practitioner
Kavisuni Health Care Clinic,Kitui,Level 2,Private Enterprise (Institution)
Dr Yunus Clinic,Kilifi,Level 2,Private Practice - General Practitioner
Kuze Health Care,Mombasa,Level 2,Private Enterprise (Institution)
Tereza D'Lima Dispensary,Machakos,Level 2,Private Enterprise (Institution)
David Kariuki Medical Centre,Kilifi,Level 2,Private Practice - Clinical Officer
Muyeye Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Maamba Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Egah Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Mwawesa Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Afya Njema Clinic,Machakos,Level 2,Private Enterprise (Institution)
Kitui Quality Care,Kitui,Level 3,Private Enterprise (Institution)
Shree Cuteh Sat Sanf Swaminara,Mombasa,Level 2,Private Enterprise (Institution)
Kipture Dispensary,Nandi,Level 2,Ministry of Health
Rehoboth Maternity Nursing Home(Mwingi North),Kitui,Level 3,Private Enterprise (Institution)
Joy Town Clinic,Kiambu,Level 2,Private Practice - General Practitioner
Tumaini Medical Clinic (Kilindini),Mombasa,Level 2,Private Enterprise (Institution)
Siloam Medical Clinic (Malindi),Kilifi,Level 2,Private Practice - Clinical Officer
Kithayoni Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Community Medical Centre (Kongowea),Mombasa,Level 2,Private Practice - General Practitioner
Bombolulu Staff Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Tawakal Medical Clinic (Msambweni),Kwale,Level 2,Private Enterprise (Institution)
Trinity Medical Clinic (Kilindini),Mombasa,Level 2,Private Enterprise (Institution)
St Hillarias Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Jambo Medical Clinic,Mombasa,Level 3,Private Enterprise (Institution)
Jambo Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Sparki Health Services,Mombasa,Level 2,Private Enterprise (Institution)
Genesis Medicare,Mombasa,Level 2,Private Practice - Nurse / Midwifery
Kyanzavi Medical Clinic,Machakos,Level 2,Private Enterprise (Institution)
Nyali Health Care Limited,Mombasa,Level 2,Private Enterprise (Institution)
Makadara Health Care,Machakos,Level 2,Private Enterprise (Institution)
Upendo Health Care Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Mary Goretti Health Services,Machakos,Level 2,Private Enterprise (Institution)
Nuru Health Care Centre,Kilifi,Level 2,Private Enterprise (Institution)
Athi River Community Hospital,Machakos,Level 2,Private Enterprise (Institution)
Opiroi Dispensary,Samburu,Level 2,Ministry of Health
Utugi Medical Clinic,Embu,Level 2,Private Enterprise (Institution)
EAPC Kigumo Clinic,Embu,Level 2,Christian Health Association of Kenya
Sunrise Clinic,Homa Bay,Level 2,Private Enterprise (Institution)
Tumaini Clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Family Health Care Clinic,Kakamega,Level 2,Private Enterprise (Institution)
Premier Medical Clinic (Kitui),Kitui,Level 2,Private Enterprise (Institution)
Manyatta Medical Clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Dr Safdar S Saeed Clinic,Mombasa,Level 2,Private Practice - General Practitioner
Mathare Police Depot,Nairobi,Level 2,Ministry of Health
Kahada Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
St Joseph Maledi Clinic,Kwale,Level 2,Private Enterprise (Institution)
Bengo Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
St Andrews Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
Family Medical Centre (Mombasa),Mombasa,Level 2,Private Enterprise (Institution)
Ziwa La Ng'ombe Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Jaffery Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Gongoni Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Mwachande Medical Clinic,Kwale,Level 2,Private Enterprise (Institution)
St Michael Medical Services,Machakos,Level 2,Private Enterprise (Institution)
Swindon Clinic,Homa Bay,Level 2,Private Enterprise (Institution)
Gadi Medical Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
Kiambogo Medical Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
St Norah's Clinc,Nyamira,Level 2,Private Enterprise (Institution)
EDARP Ruai Clinic,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Olps Clinic,Kisumu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
MTC Clinic (Kisumu),Kisumu,Level 2,Private Enterprise (Institution)
Kahuro Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Ciama Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Family Health Options Kenya (FHOK) Mombasa,Mombasa,Level 2,Non-Governmental Organizations
St Ruth Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Ramos Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Happy Magwagwa Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Redeemed Medical Clinic,Machakos,Level 2,Private Enterprise (Institution)
Tuungane Youth Centre (Kisumu East),Kisumu,Level 2,Non-Governmental Organizations
Medicare Medical Clinic (Manga),Nyamira,Level 2,Private Enterprise (Institution)
Annunciation Catholic Dispensary,Kiambu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Ntonyiri Health Services,Meru,Level 2,Private Enterprise (Institution)
Al-Agsa Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
St Mary (ACK) Dispensary (Ngariama),Kirinyaga,Level 2,Christian Health Association of Kenya
Galilee Medical Clinic,Embu,Level 2,Private Practice - General Practitioner
Shuffa Clinic,Tana River,Level 2,Private Practice - Nurse / Midwifery
Acacia Medicare Centre,Kajiado,Level 2,Private Practice - Clinical Officer
Samora Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Afya Link Ngurubani Clinic,Kirinyaga,Level 2,Private Enterprise (Institution)
St Charles Lwanga Dispensary,Kiambu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Mwendwa Clinic,Meru,Level 2,Private Enterprise (Institution)
Family Saver Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Mitunguu Ccs Dispensary,Meru,Level 2,Christian Health Association of Kenya
Ichomba Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Bright Clinic,Meru,Level 2,Private Enterprise (Institution)
Salama Dawa Health Services,Meru,Level 2,Private Enterprise (Institution)
Mau-Narok Health Services,Nakuru,Level 2,Private Enterprise (Institution)
Mokason Clinic,Kisii,Level 2,Private Enterprise (Institution)
Kiangwenyi Clinic,Kirinyaga,Level 2,Private Enterprise (Institution)
Genesis Clinic (Kirinyaga),Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Emmaus Clinic,Nakuru,Level 2,Private Practice - Nurse / Midwifery
Bekam Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Kahuhia (ACK) Clinic,Murang'A,Level 2,Christian Health Association of Kenya
Disciples of Mercy Clinic,Kisumu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Manga Getobo Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Kathangariri (ACK) Clinic,Embu,Level 2,Christian Health Association of Kenya
Skans Health Care Centre,Mombasa,Level 3,Private Practice - General Practitioner
Mwachinga Dispensary,Kwale,Level 2,Ministry of Health
Garissa Medical Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Blue Line Clinic,Kirinyaga,Level 2,Private Practice - General Practitioner
Kahatia Medical Clinic,Murang'A,Level 2,Private Practice - Clinical Officer
Cidi Mukuru Clinic,Nairobi,Level 2,Other Faith Based
St Vincent Clinic (Kisumu East),Kisumu,Level 2,Private Enterprise (Institution)
Mkang'ombe Dispensary,Kwale,Level 2,Ministry of Health
Kairo Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
